152	day	-	1000	
153	day	-	900	
154	day	-	810	
155	day	-	729	
156	day	-	656	
157	day	-	590	
158	day	-	531	
159	day	-	478	
160	day	-	430	
161	day	-	387	
162	day	-	349	
163	day	-	314	
164	day	-	282	
165	day	-	254	
166	day	-	229	
167	day	-	206	
168	day	-	185	
169	day	-	167	
170	day	-	150	
171	day	-	135	
172	day	-	122	
173	day	-	109	
174	day	-	98	
175	day	-	89	
176	day	-	80	
177	day	-	72	
178	day	-	65	
179	day	-	58	
180	day	-	52	
181	day	-	47	
182	day	-	42	
183	day	-	38	
184	day	-	34	
185	day	-	31	
186	day	-	28	
187	day	-	25	
188	day	-	23	
189	day	-	20	
190	day	-	18	
191	day	-	16	
192	day	-	15	
193	day	-	13	
194	day	-	12	
195	day	-	11	
196	day	-	10	
197	day	-	9	
198	day	-	8	
199	day	-	7	
200	day	-	6	
201	day	-	6	
202	day	-	5	
203	day	-	5	
204	day	-	4	
205	day	-	4	
206	day	-	3	
207	day	-	3	
208	day	-	3	
209	day	-	2	
210	day	-	2	
211	day	-	2	
212	day	-	2	
213	day	-	2	
