1	day	-	100	
2	day	-	190	
3	day	-	271	
4	day	-	344	
5	day	-	410	
6	day	-	469	
7	day	-	522	
8	day	-	570	
9	day	-	613	
10	day	-	651	
11	day	-	686	
12	day	-	718	
13	day	-	746	
14	day	-	771	
15	day	-	794	
16	day	-	815	
17	day	-	833	
18	day	-	850	
19	day	-	865	
20	day	-	878	
21	day	-	891	
22	day	-	902	
23	day	-	911	
24	day	-	920	
25	day	-	928	
26	day	-	935	
27	day	-	942	
28	day	-	948	
29	day	-	953	
30	day	-	958	
31	day	-	962	
32	day	-	966	
33	day	-	969	
34	day	-	972	
35	day	-	975	
36	day	-	977	
37	day	-	980	
38	day	-	982	
39	day	-	984	
40	day	-	985	
41	day	-	987	
42	day	-	988	
43	day	-	989	
44	day	-	990	
45	day	-	991	
46	day	-	992	
47	day	-	993	
48	day	-	994	
49	day	-	994
